State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9436399831915069	0.031206822683591165	3.1259007895241846E-4	1.9938150629089098E-5	6.23041595581894E-5	0.004564349475449658	5.14575995789788E-4	0.01961179641680274	6.763984771999429E-5	0.0
2	0.10848592796684371	0.8102227259489821	0.07308514710556412	0.0	4.844134320259938E-4	0.0059814409468441935	1.0904329975744697E-4	0.0015155454097542864	1.1575589022809577E-4	0.0
3	0.0012756885289530518	0.0908490205329859	0.8414362698171631	0.0452436829820455	7.114612946467685E-4	0.019651908418629172	3.512763893447051E-4	4.80692036231867E-4	0.0	0.0
4	4.9741921069844036E-5	3.815757262489676E-4	0.0542080032966649	0.7163811964718909	0.11233007889290679	0.09021302792609323	0.009925141601184944	0.005837819269368947	0.010150705152293908	5.227097422775817E-4
5	9.064665004008655E-5	3.381222256350728E-4	6.708446853095083E-4	0.058080486826134405	0.6500081935622988	0.006161693645564064	0.01569334247091522	0.2164637666591092	0.001127932925564772	0.05136497034942889
6	0.017457949012659346	0.007257877088419166	0.01754815779659394	0.07039344429294284	0.008626548672827675	0.732232721082912	0.0023008245768777937	0.14258732732350954	0.0015951501532575115	0.0
7	0.002484169957554621	2.1780806944808587E-4	5.175955926149876E-4	0.010506441556745343	0.03259280664289026	0.0021968558810483672	0.5091663297805635	0.2665670638102576	0.0034300590752253607	0.17232086963365204
8	8.195665489574071E-4	2.135437704189121E-5	5.392252561456086E-6	4.82250937176E-5	0.0035215133830869905	0.0015636671954679408	0.002188762937571059	0.9908224177842967	3.8295871243807135E-4	6.261417148608426E-4
9	4.1842946291914995E-4	5.869307719961664E-5	0.0	0.008906793030961353	0.0019843482640603816	0.0012934368737848435	0.0032504031791882786	0.04044608014875346	0.847324843880579	0.09631697208255392
10	0.0	0.0	0.0	2.6870074943810444E-5	0.00345153675628517	0.0	0.005796871029066233	0.002562398077010021	0.0037545115099672658	0.9844078125527275
